Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
LAC,12/07/2014,NE,71%,0.0,"San Diego, California",Click to see stadium details,Grass,LAC_NE,64f.,9mi,Mostly Cloudy,2mi
GB,12/08/2014,ATL,95%,0.0,"Green Bay, Wisconsin",Click to see stadium details,Desso,ATL_GB,32f.,3mi,Overcast,4mi
LA,12/11/2014,ARI,84%,0.0,"St. Louis, Missouri",Click to see stadium details,Fieldturf,ARI_LA,30f.,8mi,Clear,1mi
ATL,12/14/2014,PIT,49%,0.0,"Atlanta, Georgia",Click to see stadium details,Fieldturf,ATL_PIT,54f.,10mi,Clear,8mi
BUF,12/14/2014,GB,93%,0.0,"Orchard Park, New York",Click to see stadium details,A-Turf,BUF_GB,34f.,6mi,Overcast,9mi
CLE,12/14/2014,CIN,93%,0.0,"Cleveland, Ohio",Click to see stadium details,Kentucky,CIN_CLE,45f.,8mi,Overcast,5mi
IND,12/14/2014,HOU,85%,0.0,"Indianapolis, Indiana",Click to see stadium details,Fieldturf,HOU_IND,47f.,7mi,Mostly Cloudy,4mi
KC,12/14/2014,OAK,78%,0.0,"Kansas City, Missouri",Click to see stadium details,Grass,KC_OAK,60f.,9mi,Overcast,10mi
NE,12/14/2014,MIA,64%,0.0,"Foxborough, Massachusetts",Click to see stadium details,Fieldturf,MIA_NE,43f.,10mi,Clear,5mi
NYG,12/14/2014,WAS,70%,0.0,"Rutherford, New Jersey",Click to see stadium details,Fieldturf,NYG_WAS,43f.,9mi,Overcast,7mi
CAR,12/14/2014,TB,32%,0.0,"Charlotte, North Carolina",Click to see stadium details,Grass,CAR_TB,58f.,10mi,Clear,2mi
BAL,12/14/2014,JAX,65%,0.0,"Baltimore, Maryland",Click to see stadium details,419,BAL_JAX,49f.,9mi,Mostly Cloudy,7mi
TEN,12/14/2014,NYJ,77%,0.0,"Nashville, Tennessee",Click to see stadium details,419,NYJ_TEN,49f.,9mi,Mostly Cloudy,1mi
LAC,12/14/2014,DEN,57%,0.0,"San Diego, California",Click to see stadium details,Grass,DEN_LAC,62f.,10mi,Partly Cloudy,5mi
SEA,12/14/2014,SF,61%,0.0,"Seattle, Washington",Click to see stadium details,Fieldturf,SEA_SF,49f.,10mi,Clear,2mi
DET,12/14/2014,MIN,87%,0.0,"Detroit, Michigan",Click to see stadium details,Fieldturf,DET_MIN,47f.,5mi,Overcast,1mi
PHI,12/14/2014,DAL,72%,0.0,"Philadelphia, Pennsylvania",Click to see stadium details,Desso,DAL_PHI,42f.,9mi,Mostly Cloudy,6mi
CHI,12/15/2014,NO,93%,0.0,"Chicago, Illinois",Click to see stadium details,Grass,CHI_NO,42f.,3mi,Overcast,6mi
JAX,12/18/2014,TEN,75%,0.0,"Jacksonville, Florida",Click to see stadium details,419,JAX_TEN,54f.,9mi,Partly Cloudy,3mi
WAS,12/20/2014,PHI,62%,0.0,"Landover, Maryland",Click to see stadium details,Grass,PHI_WAS,35f.,10mi,Mostly Cloudy,1mi
SF,12/20/2014,LAC,82%,0.0,"Santa Clara, California",Click to see stadium details,Bermuda,LAC_SF,58f.,9mi,Overcast,1mi
CHI,12/21/2014,DET,76%,0.0,"Chicago, Illinois",Click to see stadium details,Grass,CHI_DET,36f.,9mi,Mostly Cloudy,7mi
MIA,12/21/2014,MIN,64%,0.0,"Miami Gardens, Florida",Click to see stadium details,Grass,MIA_MIN,78f.,9mi,Mostly Cloudy,7mi
NO,12/21/2014,ATL,83%,0.0,"New Orleans, Louisiana",Click to see stadium details,Fieldturf,ATL_NO,57f.,9mi,Overcast,2mi
NYJ,12/21/2014,NE,74%,0.0,"Rutherford, New Jersey",Click to see stadium details,Fieldturf,NE_NYJ,35f.,9mi,Mostly Cloudy,4mi
PIT,12/21/2014,KC,67%,0.0,"Pittsburgh, Pennsylvania",Click to see stadium details,Desso,KC_PIT,34f.,8mi,Mostly Cloudy,0mi
TB,12/21/2014,GB,65%,0.0,"Tampa, Florida",Click to see stadium details,Grass,GB_TB,76f.,10mi,Mostly Cloudy,4mi
CAR,12/21/2014,CLE,62%,0.0,"Charlotte, North Carolina",Click to see stadium details,Grass,CAR_CLE,50f.,10mi,Mostly Cloudy,4mi
HOU,12/21/2014,BAL,74%,0.0,"Houston, Texas",Click to see stadium details,Grass,BAL_HOU,58f.,9mi,Mostly Cloudy,2mi
LA,12/21/2014,NYG,73%,0.0,"St. Louis, Missouri",Click to see stadium details,Fieldturf,LA_NYG,41f.,9mi,Overcast,7mi
DAL,12/21/2014,IND,81%,0.0,"Arlington, Texas",Click to see stadium details,RealGrass,DAL_IND,51f.,9mi,Overcast,9mi
OAK,12/21/2014,BUF,90%,0.0,"Oakland, California",Click to see stadium details,Bluegrass,BUF_OAK,62f.,8mi,Mostly Cloudy,6mi
ARI,12/21/2014,SEA,63%,0.0,"Glendale, Arizona",Click to see stadium details,Grass,ARI_SEA,54f.,10mi,Partly Cloudy,1mi
CIN,12/22/2014,DEN,75%,0.0,"Cincinnati, Ohio",Click to see stadium details,-,CIN_DEN,46f.,7mi,Partly Cloudy,7mi
TEN,12/28/2014,IND,90%,0.0,"Nashville, Tennessee",Click to see stadium details,419,IND_TEN,41f.,7mi,Overcast,5mi
KC,12/28/2014,LAC,56%,0.0,"Kansas City, Missouri",Click to see stadium details,Grass,KC_LAC,37f.,10mi,Clear,5mi
MIA,12/28/2014,NYJ,70%,0.0,"Miami Gardens, Florida",Click to see stadium details,Grass,MIA_NYJ,80f.,10mi,Partly Cloudy,7mi
MIN,12/28/2014,CHI,82%,0.0,"Minneapolis, Minnesota",Click to see stadium details,FieldTurf,CHI_MIN,22f.,8mi,Mostly Cloudy,4mi
NE,12/28/2014,BUF,73%,0.0,"Foxborough, Massachusetts",Click to see stadium details,Fieldturf,BUF_NE,49f.,9mi,Overcast,8mi
NYG,12/28/2014,PHI,74%,0.0,"Rutherford, New Jersey",Click to see stadium details,Fieldturf,NYG_PHI,51f.,9mi,Mostly Cloudy,6mi
TB,12/28/2014,NO,70%,0.0,"Tampa, Florida",Click to see stadium details,Grass,NO_TB,77f.,9mi,Partly Cloudy,7mi
WAS,12/28/2014,DAL,60%,0.0,"Landover, Maryland",Click to see stadium details,Grass,DAL_WAS,57f.,10mi,Mostly Cloudy,4mi
BAL,12/28/2014,CLE,62%,0.0,"Baltimore, Maryland",Click to see stadium details,419,BAL_CLE,56f.,10mi,Overcast,3mi
HOU,12/28/2014,JAX,92%,0.0,"Houston, Texas",Click to see stadium details,Grass,HOU_JAX,43f.,7mi,Drizzle,8mi
ATL,12/28/2014,CAR,96%,0.0,"Atlanta, Georgia",Click to see stadium details,Fieldturf,ATL_CAR,58f.,8mi,Overcast,2mi
GB,12/28/2014,DET,75%,0.0,"Green Bay, Wisconsin",Click to see stadium details,Desso,DET_GB,25f.,7mi,Overcast,6mi
DEN,12/28/2014,OAK,53%,0.0,"Denver, Colorado",Click to see stadium details,Grass,DEN_OAK,33f.,6mi,Partly Cloudy,0mi
SF,12/28/2014,ARI,56%,0.0,"Santa Clara, California",Click to see stadium details,Bermuda,ARI_SF,56f.,9mi,Clear,5mi
SEA,12/28/2014,LA,82%,0.0,"Seattle, Washington",Click to see stadium details,Fieldturf,LA_SEA,43f.,10mi,Mostly Cloudy,1mi
PIT,12/28/2014,CIN,87%,0.0,"Pittsburgh, Pennsylvania",Click to see stadium details,Desso,CIN_PIT,35f.,9mi,Overcast,1mi
CAR,01/03/2015,ARI,97%,0.0,"Charlotte, North Carolina",Click to see stadium details,Grass,ARI_CAR,50f.,1mi,Foggy,1mi
PIT,01/03/2015,BAL,92%,0.0,"Pittsburgh, Pennsylvania",Click to see stadium details,Desso,BAL_PIT,48f.,9mi,Mostly Cloudy,7mi
IND,01/04/2015,CIN,86%,0.0,"Indianapolis, Indiana",Click to see stadium details,Fieldturf,CIN_IND,33f.,5mi,Light Snow,12mi
DAL,01/04/2015,DET,54%,0.0,"Arlington, Texas",Click to see stadium details,RealGrass,DAL_DET,37f.,10mi,Clear,5mi
NE,01/10/2015,BAL,54%,0.0,"Foxborough, Massachusetts",Click to see stadium details,Fieldturf,BAL_NE,15f.,10mi,Clear,4mi
SEA,01/10/2015,CAR,95%,0.0,"Seattle, Washington",Click to see stadium details,Fieldturf,CAR_SEA,45f.,10mi,Overcast,0mi
GB,01/11/2015,DAL,73%,0.0,"Green Bay, Wisconsin",Click to see stadium details,Desso,DAL_GB,23f.,9mi,Overcast,4mi
DEN,01/11/2015,IND,85%,0.0,"Denver, Colorado",Click to see stadium details,Grass,DEN_IND,37f.,3mi,Overcast,2mi
SEA,01/18/2015,GB,79%,0.0,"Seattle, Washington",Click to see stadium details,Fieldturf,GB_SEA,50f.,9mi,Mostly Cloudy,10mi
NE,01/18/2015,IND,89%,0.0,"Foxborough, Massachusetts",Click to see stadium details,Fieldturf,IND_NE,47f.,6mi,Overcast,9mi
SEA,02/01/2015,NE,54%,0.0,"Glendale, Arizona",Click to see stadium details,Grass,NE_SEA,66f.,10mi,Clear,4mi
