Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
NE,09/07/2017,KC,82%,0.0,"Foxborough, Massachusetts",,Fieldturf,KC_NE,59f.,10mi,Clear,1mi
BUF,09/10/2017,NYJ,56%,0.0,"Orchard Park, New York",,A-Turf,BUF_NYJ,63f.,10mi,Partly Cloudy,6mi
WAS,09/10/2017,PHI,53%,0.0,"Landover, Maryland",,Grass,PHI_WAS,70f.,8mi,Clear,2mi
TEN,09/10/2017,OAK,50%,0.0,"Nashville, Tennessee",,419,OAK_TEN,77f.,10mi,Clear,6mi
HOU,09/10/2017,JAX,47%,0.0,"Houston, Texas",,Grass,HOU_JAX,83f.,10mi,Clear,4mi
DET,09/10/2017,ARI,59%,0.0,"Detroit, Michigan",,Fieldturf,ARI_DET,66f.,10mi,Partly Cloudy,4mi
CHI,09/10/2017,ATL,49%,0.0,"Chicago, Illinois",,Grass,ATL_CHI,67f.,10mi,Clear,5mi
CIN,09/10/2017,BAL,42%,0.0,"Cincinnati, Ohio",,-,BAL_CIN,71f.,5mi,Clear,4mi
CLE,09/10/2017,PIT,55%,0.0,"Cleveland, Ohio",,Kentucky,CLE_PIT,67f.,3mi,Clear,7mi
LA,09/10/2017,IND,43%,0.0,"Los Angeles, California",,Natural,IND_LA,87f.,10mi,Clear,5mi
GB,09/10/2017,SEA,63%,0.0,"Green Bay, Wisconsin",,Desso,GB_SEA,66f.,6mi,Clear,7mi
SF,09/10/2017,CAR,32%,0.0,"Santa Clara, California",,Bermuda,CAR_SF,94f.,10mi,Clear,2mi
DAL,09/10/2017,NYG,53%,0.0,"Arlington, Texas",,RealGrass,DAL_NYG,73f.,10mi,Clear,1mi
MIN,09/11/2017,NO,80%,0.0,"Minneapolis, Minnesota",,UBU,MIN_NO,72f.,10mi,Clear,0mi
DEN,09/11/2017,LAC,48%,0.0,"Denver, Colorado",,Grass,DEN_LAC,68f.,3mi,Partly Cloudy,2mi
