SeasonYear,OffenseTeam,Coach,Offensive_coordinator,Offensive_scheme
2015,DET,Jim Bob Cooter,"Jim Bob Cooter, Joe Lombardi",Air Coryell
2015,CLE,Mike Pettine,John DeFilippo,West Coast
2015,BUF,Rex Ryan,Greg Roman,West Coast
2015,PHI,Chip Kelly,Pat Shurmur,Spread
2015,PIT,Mike Tomlin,Todd Haley,Erhardt-Perkins
2016,CAR,Ron Rivera,Mike Shula,Erhardt-Perkins
2016,NYG,Frank Cignetti,Mike Sullivan,West Coast
2016,HOU,Bill O'Brien,George Godsey,Spread
2016,TB,Todd Monken,Todd Monken,Air Coryell
2016,MIA,Adam Gase,Clyde Christensen,Spread/Erhardt-Perkins
2016,ARI,Bruce Arians,Harold Goodwin,Air Coryell
2016,CIN,Kevin Coyle,Ken Zampese,West Coast
2016,KC,Andy Reid,Brad Childress,West Coast
2016,JAX,Doug Marrone,"Nathaniel Hackett, Greg Olson",West Coast
2016,OAK,Jack Del Rio,Bill Musgrave,West Coast
2016,NE,Bill Belichick,Josh McDaniels,Erhardt-Perkins
2016,WAS,Jay Gruden,Sean McVay,West Coast
2016,DAL,Jason Garrett,Scott Linehan,Air Coryell
2016,NYJ,Todd Bowles,Chan Gailey,Erhardt-Perkins
2016,BAL,John Harbaugh,"Marty Mornhinweg, Marc Trestman",West Coast
2016,IND,Chuck Pagano,Rob Chudzinski,West Coast
2016,GB,Mike McCarthy,Edgar Bennett,West Coast
2016,TEN,Mike Mularkey,Terry Robiskie,Erhardt-Perkins
2016,DEN,Gary Kubiak,Rick Dennison,West Coast
2016,MIN,Mike Zimmer,"Pat Shurmur, Norv Turner",Air Coryell
2016,CHI,John Fox,Dowell Loggains,West Coast
2016,ATL,Matt LaFleur,Kyle Shanahan,West Coast
2016,NO,Sean Payton,Pete Carmichael,Air Coryell
2016,SEA,John Schneider,Darrell Bevell,West Coast
2016,LA,John Fassel,Rob Boras,Air Coryell
2016,LAC,Mike McCoy,Ken Whisenhunt,Erhardt-Perkins
2016,SF,Chip Kelly,Curtis Modkins,Spread
2016,DET,Gunther Cunningham,Jim Bob Cooter,Air Coryell
2016,CLE,Hue Jackson,Hue Jackson,West Coast
2016,BUF,Aaron Kromer,"Anthony Lynn, Greg Roman",West Coast
2016,PHI,John DeFilippo,Frank Reich,West Coast
2016,PIT,Mike Tomlin,Todd Haley,Erhardt-Perkins
2017,CAR,Ron Rivera,Mike Shula,Erhardt-Perkins
2017,NYG,Frank Cignetti,Mike Sullivan,West Coast
