Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
GB,9/15/13,WAS,78%,0," Green Bay, Wisconsin",Lambeau Field,Desso,GB_WAS,62f.,10mi,Overcast,3mi
IND,9/15/13,MIA,36%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_MIA,76f.,10mi,Overcast,12mi
KC,9/15/13,DAL,58%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,DAL_KC,79f.,10mi,A Few Clouds,3mi
BAL,9/15/13,CLE,37%,0," Baltimore, Maryland",M&T Bank Stadium,419,BAL_CLE,78f.,0mi,Partly Cloudy,0mi
HOU,9/15/13,TEN,54%,0," Houston, Texas",NRG Stadium,Grass,HOU_TEN,91f.,10mi,Mostly Cloudy,9mi
PHI,9/15/13,LAC,40%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,LAC_PHI,72f.,10mi,Mostly Cloudy,7mi
ARI,9/15/13,DET,21%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_DET,102f.,20mi,A Few Clouds,4mi
TB,9/15/13,NO,84%,0," Tampa, Florida",Raymond James Stadium,Grass,NO_TB,75f.,10mi,Overcast,7mi
OAK,9/15/13,JAX,64%,0," Oakland, California",Oakland Coliseum,Bluegrass,JAX_OAK,72f.,10mi,Fair,9mi
NYG,9/15/13,DEN,44%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,DEN_NYG,67f.,10mi,Fair,3mi
SEA,9/15/13,SF,84%,0," Seattle, Washington",CenturyLink Field,Fieldturf,SEA_SF,64f.,6mi,"Thunder, Lt Rain",6mi
CIN,9/16/13,PIT,87%,0," Cincinnati, Ohio",Paul Brown Stadium,-,CIN_PIT,58f.,10mi,Fair,3mi
PHI,9/19/13,KC,70%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,KC_PHI,64f.,10mi,Fair,5mi
CIN,9/22/13,GB,49%,0," Cincinnati, Ohio",Paul Brown Stadium,-,CIN_GB,67f.,10mi,Fair,7mi
DAL,9/22/13,LA,34%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_LA,79f.,10mi,Clear,6mi
TEN,9/22/13,LAC,39%,0," Nashville, Tennessee",Nissan Stadium,419,LAC_TEN,76f.,10mi,Fair,7mi
MIN,9/22/13,CLE,53%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,CLE_MIN,70f.,10mi,Fair,16mi
NE,9/22/13,TB,48%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_TB,72f.,10mi,Fair,12mi
NO,9/22/13,ARI,67%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,ARI_NO,79f.,10mi,Mostly Cloudy,10mi
WAS,9/22/13,DET,45%,0," Landover, Maryland",FedExField,Grass,DET_WAS,71f.,10mi,Overcast,11mi
CAR,9/22/13,NYG,42%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_NYG,77f.,10mi,Partly Cloudy,10mi
BAL,9/22/13,HOU,43%,0," Baltimore, Maryland",M&T Bank Stadium,419,BAL_HOU,72f.,0mi,Mostly Clear,0mi
MIA,9/22/13,ATL,72%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,ATL_MIA,85f.,10mi,Fair,4mi
NYJ,9/22/13,BUF,46%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,BUF_NYJ,64f.,10mi,Mostly Cloudy,9mi
SF,9/22/13,IND,64%,0," San Francisco, California",Candlestick Park,Kentucky,IND_SF,64f.,0mi,NA,0mi
SEA,9/22/13,JAX,75%,0," Seattle, Washington",CenturyLink Field,Fieldturf,JAX_SEA,61f.,10mi,Mostly Cloudy,15mi
PIT,9/22/13,CHI,83%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,CHI_PIT,52f.,10mi,Overcast,4mi
DEN,9/23/13,OAK,31%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_OAK,57f.,10mi,Partly Cloudy,15mi
LA,9/26/13,SF,63%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,LA_SF,71f.,10mi,Fair,5mi
BUF,9/29/13,BAL,48%,0," Orchard Park, New York",New Era Field,A-Turf,BAL_BUF,74f.,10mi,Mostly Cloudy,8mi
CLE,9/29/13,CIN,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CIN_CLE,0f.,10mi,Overcast,5mi
DET,9/29/13,CHI,90%,0," Detroit, Michigan",Ford Field,Fieldturf,CHI_DET,64f.,6mi,Fog/Mist,3mi
KC,9/29/13,NYG,38%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,KC_NYG,73f.,10mi,Fair,5mi
MIN,9/29/13,PIT,,0," London, London",Click to see stadium details,Desso,MIN_PIT,60f.,8mi,Mostly Cloudy,
TB,9/29/13,ARI,57%,0," Tampa, Florida",Raymond James Stadium,Grass,ARI_TB,84f.,10mi,Partly Cloudy,7mi
JAX,9/29/13,IND,62%,0," Jacksonville, Florida",EverBank Field,419,IND_JAX,80f.,10mi,Mostly Cloudy,11mi
HOU,9/29/13,SEA,79%,0," Houston, Texas",NRG Stadium,Grass,HOU_SEA,82f.,10mi,Mostly Cloudy,9mi
TEN,9/29/13,NYJ,76%,0," Nashville, Tennessee",Nissan Stadium,419,NYJ_TEN,68f.,10mi,Light Rain,4mi
DEN,9/29/13,PHI,13%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_PHI,73f.,50mi,Mostly Cloudy,6mi
LAC,9/29/13,DAL,24%,0," San Diego, California",Qualcomm Stadium,Grass,DAL_LAC,80f.,0mi,NA,6mi
OAK,9/29/13,WAS,61%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_WAS,72f.,10mi,A Few Clouds,5mi
ATL,9/29/13,NE,90%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_NE,61f.,10mi,Fair,0mi
NO,9/30/13,MIA,91%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,MIA_NO,76f.,10mi,Overcast,4mi
CLE,10/3/13,BUF,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,BUF_CLE,63f.,10mi,Light Rain,8mi
CHI,10/6/13,NO,52%,0," Chicago, Illinois",Soldier Field,Grass,CHI_NO,61f.,10mi,Mostly Cloudy,12mi
CIN,10/6/13,NE,82%,0," Cincinnati, Ohio",Paul Brown Stadium,-,CIN_NE,74f.,10mi,Mostly Cloudy,16mi
LA,10/6/13,JAX,51%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,JAX_LA,57f.,10mi,Mostly Cloudy,13mi
MIA,10/6/13,BAL,57%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,BAL_MIA,87f.,10mi,A Few Clouds,6mi
NYG,10/6/13,PHI,87%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYG_PHI,69f.,4mi,Fog/Mist,9mi
GB,10/6/13,DET,46%,0," Green Bay, Wisconsin",Lambeau Field,Desso,DET_GB,61f.,10mi,Fair,12mi
TEN,10/6/13,KC,93%,0," Nashville, Tennessee",Nissan Stadium,419,KC_TEN,63f.,9mi,Light Rain,6mi
IND,10/6/13,SEA,84%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_SEA,56f.,10mi,Overcast,9mi
ARI,10/6/13,CAR,26%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_CAR,90f.,20mi,Fair,0mi
DAL,10/6/13,DEN,15%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_DEN,75f.,10mi,Clear,7mi
SF,10/6/13,HOU,15%,0," San Francisco, California",Candlestick Park,Kentucky,HOU_SF,73f.,0mi,A Few Clouds,0mi
OAK,10/6/13,LAC,35%,0," Oakland, California",Oakland Coliseum,Bluegrass,LAC_OAK,63f.,10mi,Partly Cloudy,0mi
ATL,10/7/13,NYJ,72%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_NYJ,59f.,10mi,Fair,0mi
CHI,10/10/13,NYG,73%,0," Chicago, Illinois",Soldier Field,Grass,CHI_NYG,63f.,10mi,Fair,6mi
BUF,10/13/13,CIN,70%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_CIN,68f.,10mi,Overcast,5mi
CLE,10/13/13,DET,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_DET,67f.,10mi,Overcast,8mi
KC,10/13/13,OAK,28%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,KC_OAK,70f.,10mi,Fair,11mi
MIN,10/13/13,CAR,38%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,CAR_MIN,58f.,10mi,Mostly Cloudy,5mi
TB,10/13/13,PHI,40%,0," Tampa, Florida",Raymond James Stadium,Grass,PHI_TB,84f.,10mi,Mostly Cloudy,4mi
BAL,10/13/13,GB,61%,0," Baltimore, Maryland",M&T Bank Stadium,419,BAL_GB,68f.,0mi,Areas Drizzle,0mi
HOU,10/13/13,LA,88%,0," Houston, Texas",NRG Stadium,Grass,HOU_LA,76f.,10mi,Overcast,5mi
NYJ,10/13/13,PIT,56%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYJ_PIT,65f.,10mi,Fair,10mi
DEN,10/13/13,JAX,48%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_JAX,59f.,15mi,Partly Cloudy with Haze,4mi
SEA,10/13/13,TEN,64%,0," Seattle, Washington",CenturyLink Field,Fieldturf,SEA_TEN,57f.,10mi,Partly Cloudy,3mi
NE,10/13/13,NO,86%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_NO,47f.,10mi,Fair,0mi
SF,10/13/13,ARI,44%,0," San Francisco, California",Candlestick Park,Kentucky,ARI_SF,67f.,0mi,Clear,0mi
DAL,10/13/13,WAS,78%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_WAS,72f.,10mi,Fair,6mi
LAC,10/14/13,IND,85%,0," San Diego, California",Qualcomm Stadium,Grass,IND_LAC,65f.,0mi,NA,3mi
ARI,10/17/13,SEA,19%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_SEA,73f.,20mi,Fair,5mi
ATL,10/20/13,TB,32%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_TB,67f.,10mi,Fair,0mi
DET,10/20/13,CIN,57%,0," Detroit, Michigan",Ford Field,Fieldturf,CIN_DET,54f.,10mi,Mostly Cloudy,8mi
KC,10/20/13,HOU,35%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,HOU_KC,70f.,10mi,Fair,10mi
MIA,10/20/13,BUF,67%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,BUF_MIA,87f.,10mi,Mostly Cloudy,11mi
NYJ,10/20/13,NE,31%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NE_NYJ,65f.,10mi,Fair,12mi
PHI,10/20/13,DAL,32%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,DAL_PHI,62f.,10mi,A Few Clouds,12mi
WAS,10/20/13,CHI,36%,0," Landover, Maryland",FedExField,Grass,CHI_WAS,62f.,10mi,Fair,8mi
CAR,10/20/13,LA,38%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_LA,64f.,10mi,Partly Cloudy,0mi
JAX,10/20/13,LAC,60%,0," Jacksonville, Florida",EverBank Field,419,JAX_LAC,77f.,10mi,Fair,7mi
TEN,10/20/13,SF,41%,0," Nashville, Tennessee",Nissan Stadium,419,SF_TEN,58f.,10mi,Fair,4mi
PIT,10/20/13,BAL,53%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,BAL_PIT,52f.,10mi,Fair,7mi
GB,10/20/13,CLE,86%,0," Green Bay, Wisconsin",Lambeau Field,Desso,CLE_GB,43f.,10mi,Overcast,6mi
IND,10/20/13,DEN,64%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,DEN_IND,52f.,10mi,A Few Clouds,9mi
NYG,10/21/13,MIN,62%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,MIN_NYG,57f.,10mi,Fair,7mi
TB,10/24/13,CAR,66%,0," Tampa, Florida",Raymond James Stadium,Grass,CAR_TB,65f.,10mi,Mostly Cloudy,3mi
DET,10/27/13,DAL,50%,0," Detroit, Michigan",Ford Field,Fieldturf,DAL_DET,49f.,10mi,Mostly Cloudy,9mi
KC,10/27/13,CLE,31%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,CLE_KC,61f.,10mi,Fair,9mi
NE,10/27/13,MIA,40%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,MIA_NE,53f.,10mi,Partly Cloudy,14mi
NO,10/27/13,BUF,68%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,BUF_NO,72f.,10mi,Mostly Cloudy,6mi
PHI,10/27/13,NYG,33%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,NYG_PHI,58f.,10mi,A Few Clouds,13mi
JAX,10/27/13,SF,33%,0," Jacksonville, Florida",EverBank Field,419,JAX_SF,73f.,10mi,Fair,0mi
OAK,10/27/13,PIT,88%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_PIT,59f.,7mi,Mostly Cloudy,15mi
CIN,10/27/13,NYJ,66%,0," Cincinnati, Ohio",Paul Brown Stadium,-,CIN_NYJ,48f.,10mi,Fair,0mi
DEN,10/27/13,WAS,11%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_WAS,68f.,60mi,Partly Cloudy,8mi
ARI,10/27/13,ATL,14%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_ATL,88f.,20mi,Partly Cloudy,8mi
MIN,10/27/13,GB,60%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,GB_MIN,44f.,10mi,Fair,14mi
LA,10/28/13,SEA,64%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,LA_SEA,53f.,10mi,Mostly Cloudy,4mi
MIA,10/31/13,CIN,79%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,CIN_MIA,78f.,10mi,A Few Clouds,5mi
BUF,11/3/13,KC,48%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_KC,38f.,10mi,A Few Clouds,5mi
WAS,11/3/13,LAC,72%,0," Landover, Maryland",FedExField,Grass,LAC_WAS,49f.,10mi,Mostly Cloudy,10mi
CAR,11/3/13,ATL,37%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,ATL_CAR,62f.,10mi,A Few Clouds,12mi
DAL,11/3/13,MIN,37%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_MIN,64f.,10mi,Clear,7mi
LA,11/3/13,TEN,38%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,LA_TEN,58f.,10mi,A Few Clouds,13mi
NYJ,11/3/13,NO,41%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NO_NYJ,53f.,10mi,Overcast,8mi
SEA,11/3/13,TB,57%,0," Seattle, Washington",CenturyLink Field,Fieldturf,SEA_TB,52f.,10mi,Mostly Cloudy,4mi
OAK,11/3/13,PHI,41%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_PHI,62f.,10mi,Overcast,10mi
NE,11/3/13,PIT,36%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_PIT,42f.,10mi,Fair,3mi
CLE,11/3/13,BAL,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,BAL_CLE,0f.,10mi,A Few Clouds,15mi
HOU,11/3/13,IND,64%,0," Houston, Texas",NRG Stadium,Grass,HOU_IND,59f.,10mi,A Few Clouds,8mi
GB,11/4/13,CHI,86%,0," Green Bay, Wisconsin",Lambeau Field,Desso,CHI_GB,48f.,8mi,Overcast,6mi
MIN,11/7/13,WAS,82%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,MIN_WAS,32f.,7mi,Fair,0mi
ATL,11/10/13,SEA,33%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_SEA,69f.,10mi,Fair,6mi
CHI,11/10/13,DET,48%,0," Chicago, Illinois",Soldier Field,Grass,CHI_DET,47f.,10mi,A Few Clouds,4mi
GB,11/10/13,PHI,51%,0," Green Bay, Wisconsin",Lambeau Field,Desso,GB_PHI,46f.,10mi,Partly Cloudy,9mi
TEN,11/10/13,JAX,29%,0," Nashville, Tennessee",Nissan Stadium,419,JAX_TEN,65f.,10mi,Fair,5mi
IND,11/10/13,LA,52%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_LA,47f.,10mi,A Few Clouds,7mi
NYG,11/10/13,OAK,55%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYG_OAK,53f.,10mi,Light Rain,14mi
PIT,11/10/13,BUF,46%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,BUF_PIT,45f.,10mi,Overcast,17mi
BAL,11/10/13,CIN,28%,0," Baltimore, Maryland",M&T Bank Stadium,419,BAL_CIN,62f.,0mi,Breezy,0mi
SF,11/10/13,CAR,63%,0," San Francisco, California",Candlestick Park,Kentucky,CAR_SF,61f.,0mi,NA,0mi
LAC,11/10/13,DEN,18%,0," San Diego, California",Qualcomm Stadium,Grass,DEN_LAC,77f.,0mi,NA,6mi
ARI,11/10/13,HOU,17%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_HOU,82f.,20mi,Mostly Cloudy,0mi
NO,11/10/13,DAL,68%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,DAL_NO,65f.,10mi,A Few Clouds,0mi
TB,11/11/13,MIA,76%,0," Tampa, Florida",Raymond James Stadium,Grass,MIA_TB,72f.,10mi,Partly Cloudy,0mi
TEN,11/14/13,IND,45%,0," Nashville, Tennessee",Nissan Stadium,419,IND_TEN,40f.,10mi,Partly Cloudy,5mi
HOU,11/17/13,OAK,61%,0," Houston, Texas",NRG Stadium,Grass,HOU_OAK,85f.,10mi,Mostly Cloudy,14mi
PHI,11/17/13,WAS,63%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,PHI_WAS,67f.,10mi,Mostly Cloudy,7mi
PIT,11/17/13,DET,90%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,DET_PIT,59f.,7mi,Light Rain,11mi
BUF,11/17/13,NYJ,73%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_NYJ,62f.,10mi,Mostly Cloudy,17mi
CHI,11/17/13,BAL,81%,0," Chicago, Illinois",Soldier Field,Grass,BAL_CHI,68f.,10mi,Overcast and Windy,24mi
CIN,11/17/13,CLE,87%,0," Cincinnati, Ohio",Paul Brown Stadium,-,CIN_CLE,64f.,10mi,Overcast,13mi
TB,11/17/13,ATL,74%,0," Tampa, Florida",Raymond James Stadium,Grass,ATL_TB,79f.,10mi,Overcast,3mi
JAX,11/17/13,ARI,72%,0," Jacksonville, Florida",EverBank Field,419,ARI_JAX,79f.,10mi,Overcast,4mi
MIA,11/17/13,LAC,64%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,LAC_MIA,80f.,10mi,A Few Clouds,8mi
SEA,11/17/13,MIN,60%,0," Seattle, Washington",CenturyLink Field,Fieldturf,MIN_SEA,47f.,10mi,Overcast,5mi
NO,11/17/13,SF,79%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,NO_SF,81f.,10mi,Mostly Cloudy,7mi
NYG,11/17/13,GB,87%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,GB_NYG,61f.,2mi,Fog/Mist,0mi
DEN,11/17/13,KC,,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_KC,33/51f.,,Breezy,
CAR,11/18/13,NE,36%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_NE,56f.,10mi,Fair and Breezy,20mi
ATL,11/21/13,NO,80%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_NO,53f.,10mi,Overcast,4mi
CLE,11/24/13,PIT,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_PIT,33f.,10mi,Snow and Breezy,22mi
DET,11/24/13,TB,44%,0," Detroit, Michigan",Ford Field,Fieldturf,DET_TB,23f.,10mi,Mostly Cloudy,11mi
GB,11/24/13,MIN,50%,0," Green Bay, Wisconsin",Lambeau Field,Desso,GB_MIN,20f.,10mi,Fair,10mi
KC,11/24/13,LAC,35%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,KC_LAC,28f.,10mi,Fair,4mi
LA,11/24/13,CHI,37%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,CHI_LA,28f.,10mi,Mostly Cloudy,4mi
MIA,11/24/13,CAR,62%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,CAR_MIA,80f.,9mi,Light Rain,17mi
BAL,11/24/13,NYJ,28%,0," Baltimore, Maryland",M&T Bank Stadium,419,BAL_NYJ,34f.,0mi,Breezy,0mi
HOU,11/24/13,JAX,48%,0," Houston, Texas",NRG Stadium,Grass,HOU_JAX,50f.,10mi,Overcast,9mi
ARI,11/24/13,IND,59%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_IND,57f.,20mi,Mostly Cloudy,0mi
OAK,11/24/13,TEN,55%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_TEN,59f.,10mi,A Few Clouds,5mi
NYG,11/24/13,DAL,40%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,DAL_NYG,26f.,10mi,Fair,7mi
NE,11/24/13,DEN,32%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,DEN_NE,23f.,10mi,Fair,16mi
WAS,11/25/13,SF,39%,0," Landover, Maryland",FedExField,Grass,SF_WAS,32f.,10mi,A Few Clouds,8mi
DET,11/28/13,GB,75%,0," Detroit, Michigan",Ford Field,Fieldturf,DET_GB,28f.,10mi,Overcast,6mi
DAL,11/28/13,OAK,38%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_OAK,52f.,10mi,Clear,0mi
BAL,11/28/13,PIT,42%,0," Baltimore, Maryland",M&T Bank Stadium,419,BAL_PIT,37f.,0mi,Mostly Clear,0mi
CAR,12/1/13,TB,42%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_TB,57f.,10mi,Partly Cloudy,5mi
CLE,12/1/13,JAX,55%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_JAX,44f.,10mi,Overcast,8mi
IND,12/1/13,TEN,52%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_TEN,51f.,10mi,Fair,9mi
KC,12/1/13,DEN,51%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,DEN_KC,53f.,6mi,Fair with Haze,0mi
MIN,12/1/13,CHI,67%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,CHI_MIN,34f.,6mi,Overcast with Haze,0mi
NYJ,12/1/13,MIA,48%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,MIA_NYJ,49f.,10mi,Overcast,5mi
PHI,12/1/13,ARI,48%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,ARI_PHI,47f.,10mi,Mostly Cloudy,5mi
BUF,12/1/13,ATL,,0," Toronto, Ontario",Rogers Centre,FieldTurf,ATL_BUF,27/34f.,,Chance Snow,
SF,12/1/13,LA,43%,0," San Francisco, California",Candlestick Park,Kentucky,LA_SF,66f.,0mi,Areas Fog,0mi
HOU,12/1/13,NE,73%,0," Houston, Texas",NRG Stadium,Grass,HOU_NE,67f.,10mi,Mostly Cloudy,6mi
LAC,12/1/13,CIN,40%,0," San Diego, California",Qualcomm Stadium,Grass,CIN_LAC,76f.,0mi,Mostly Clear,3mi
WAS,12/1/13,NYG,81%,0," Landover, Maryland",FedExField,Grass,NYG_WAS,37f.,10mi,Overcast,3mi
SEA,12/2/13,NO,70%,0," Seattle, Washington",CenturyLink Field,Fieldturf,NO_SEA,42f.,10mi,Partly Cloudy,3mi
JAX,12/5/13,HOU,79%,0," Jacksonville, Florida",EverBank Field,419,HOU_JAX,70f.,10mi,Fair,4mi
CIN,12/8/13,IND,81%,0," Cincinnati, Ohio",Paul Brown Stadium,-,CIN_IND,28f.,10mi,Overcast,7mi
TB,12/8/13,BUF,55%,0," Tampa, Florida",Raymond James Stadium,Grass,BUF_TB,83f.,10mi,Partly Cloudy,11mi
WAS,12/8/13,KC,89%,0," Landover, Maryland",FedExField,Grass,KC_WAS,28f.,10mi,Light Freezing Rain,5mi
BAL,12/8/13,MIN,82%,0," Baltimore, Maryland",M&T Bank Stadium,419,BAL_MIN,30f.,0mi,Wintry Mix,0mi
