Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
DEN,9/5/13,BAL,30%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,BAL_DEN,81f.,50mi,Mostly Cloudy,3mi
BUF,9/8/13,NE,49%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_NE,65f.,10mi,Partly Cloudy,6mi
CHI,9/8/13,CIN,69%,0," Chicago, Illinois",Soldier Field,Grass,CHI_CIN,77f.,10mi,Mostly Cloudy,13mi
CLE,9/8/13,MIA,68%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_MIA,72f.,10mi,Partly Cloudy,16mi
NO,9/8/13,ATL,52%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,ATL_NO,90f.,10mi,Partly Cloudy,9mi
NYJ,9/8/13,TB,40%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYJ_TB,82f.,10mi,Partly Cloudy,14mi
PIT,9/8/13,TEN,74%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,PIT_TEN,74f.,9mi,Mostly Cloudy,5mi
DET,9/8/13,MIN,46%,0," Detroit, Michigan",Ford Field,Fieldturf,DET_MIN,72f.,10mi,Fair,8mi
IND,9/8/13,OAK,46%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_OAK,86f.,10mi,Mostly Cloudy,5mi
CAR,9/8/13,SEA,40%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_SEA,87f.,10mi,Mostly Cloudy,5mi
JAX,9/8/13,KC,50%,0," Jacksonville, Florida",EverBank Field,419,JAX_KC,87f.,10mi,A Few Clouds,10mi
LA,9/8/13,ARI,70%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,ARI_LA,83f.,9mi,Mostly Cloudy,7mi
SF,9/8/13,GB,70%,0," San Francisco, California",Candlestick Park,Kentucky,GB_SF,66f.,0mi,NA,0mi
DAL,9/8/13,NYG,40%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_NYG,86f.,10mi,Fair,3mi
WAS,9/9/13,PHI,78%,0," Landover, Maryland",FedExField,Grass,PHI_WAS,72f.,10mi,Mostly Cloudy,4mi
LAC,9/9/13,HOU,86%,0," San Diego, California",Qualcomm Stadium,Grass,HOU_LAC,66f.,0mi,NA,3mi
NE,9/12/13,NYJ,91%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_NYJ,72f.,2mi,Thunderstorm Rain Fog/Mist,4mi
ATL,9/15/13,LA,61%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_LA,81f.,10mi,Mostly Cloudy,0mi
BUF,9/15/13,CAR,54%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_CAR,66f.,10mi,Mostly Cloudy,10mi
CHI,9/15/13,MIN,73%,0," Chicago, Illinois",Soldier Field,Grass,CHI_MIN,62f.,10mi,Light Rain,0mi
