Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
NE,09/10/2015,PIT,95%,0.0,"Foxborough, Massachusetts",Click to see stadium details,Fieldturf,NE_PIT,64f.,6mi,Light Rain,9mi
CHI,09/13/2015,GB,41%,0.0,"Chicago, Illinois",Click to see stadium details,Grass,CHI_GB,68f.,7mi,Partly Cloudy,4mi
HOU,09/13/2015,KC,39%,0.0,"Houston, Texas",Click to see stadium details,Grass,HOU_KC,83f.,10mi,Clear,8mi
NYJ,09/13/2015,CLE,51%,0.0,"Rutherford, New Jersey",Click to see stadium details,Fieldturf,CLE_NYJ,76f.,10mi,Partly Cloudy,7mi
BUF,09/13/2015,IND,83%,0.0,"Orchard Park, New York",Click to see stadium details,A-Turf,BUF_IND,53f.,8mi,Mostly Cloudy,7mi
WAS,09/13/2015,MIA,51%,0.0,"Landover, Maryland",Click to see stadium details,Grass,MIA_WAS,71f.,9mi,Partly Cloudy,11mi
JAX,09/13/2015,CAR,53%,0.0,"Jacksonville, Florida",Click to see stadium details,419,CAR_JAX,81f.,10mi,Partly Cloudy,1mi
LA,09/13/2015,SEA,36%,0.0,"St. Louis, Missouri",Click to see stadium details,Fieldturf,LA_SEA,71f.,10mi,Clear,3mi
ARI,09/13/2015,NO,22%,0.0,"Glendale, Arizona",Click to see stadium details,Grass,ARI_NO,102f.,10mi,Partly Cloudy,4mi
LAC,09/13/2015,DET,56%,0.0,"San Diego, California",Click to see stadium details,Grass,DET_LAC,82f.,9mi,Clear,8mi
TB,09/13/2015,TEN,73%,0.0,"Tampa, Florida",Click to see stadium details,Grass,TB_TEN,81f.,9mi,Mostly Cloudy,6mi
OAK,09/13/2015,CIN,54%,0.0,"Oakland, California",Click to see stadium details,Bluegrass,CIN_OAK,75f.,10mi,Partly Cloudy,9mi
DEN,09/13/2015,BAL,10%,0.0,"Denver, Colorado",Click to see stadium details,Grass,BAL_DEN,86f.,10mi,Partly Cloudy,5mi
DAL,09/13/2015,NYG,38%,0.0,"Arlington, Texas",Click to see stadium details,RealGrass,DAL_NYG,78f.,10mi,Clear,9mi
